Identifier,Fold,Accuracy,Mean_Accuracy,Mean_Class_F1_Scores
sub7ex1,2.0,0.558173785,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub7ex1,3.0,0.600883652,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub7ex1,4.0,0.558173785,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub7ex1,5.0,0.563421829,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub7ex2,1.0,0.621502209,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub7ex2,2.0,0.624447717,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub7ex2,3.0,0.64359352,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub7ex2,4.0,0.58910162,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub7ex2,5.0,0.612094395,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub7ex3,1.0,0.509572901,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub7ex3,2.0,0.500736377,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub7ex3,3.0,0.513991163,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub7ex3,4.0,0.45802651,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub7ex3,5.0,0.482300885,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub8ex1,1.0,0.590574374,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub8ex1,2.0,0.558173785,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub8ex1,3.0,0.600883652,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub8ex1,4.0,0.558173785,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub8ex1,5.0,0.563421829,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub8ex2,1.0,0.621502209,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub8ex2,2.0,0.624447717,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub8ex2,3.0,0.64359352,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub8ex2,4.0,0.58910162,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub8ex2,5.0,0.612094395,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub8ex3,1.0,0.509572901,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub8ex3,2.0,0.500736377,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub8ex3,3.0,0.513991163,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub8ex3,4.0,0.45802651,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub8ex3,5.0,0.482300885,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub9ex1,1.0,0.590574374,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub9ex1,2.0,0.558173785,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub9ex1,3.0,0.600883652,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub9ex1,4.0,0.558173785,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub9ex1,5.0,0.563421829,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub9ex2,1.0,0.621502209,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub9ex2,2.0,0.624447717,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub9ex2,3.0,0.64359352,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub9ex2,4.0,0.58910162,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub9ex2,5.0,0.612094395,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub9ex3,1.0,0.509572901,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub9ex3,2.0,0.500736377,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub9ex3,3.0,0.513991163,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub9ex3,4.0,0.45802651,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub9ex3,5.0,0.482300885,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub10ex1,1.0,0.590574374,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub10ex1,2.0,0.558173785,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub10ex1,3.0,0.600883652,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub10ex1,4.0,0.558173785,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub10ex1,5.0,0.563421829,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub10ex2,1.0,0.621502209,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub10ex2,2.0,0.624447717,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub10ex2,3.0,0.64359352,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub10ex2,4.0,0.58910162,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub10ex2,5.0,0.612094395,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub10ex3,1.0,0.509572901,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub10ex3,2.0,0.500736377,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub10ex3,3.0,0.513991163,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub10ex3,4.0,0.45802651,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub10ex3,5.0,0.482300885,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub11ex1,1.0,0.590574374,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub11ex1,2.0,0.558173785,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub11ex1,3.0,0.600883652,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub11ex1,4.0,0.558173785,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub11ex1,5.0,0.563421829,0.574245485,"[0.6122331234433644, 0.5137092200463554, 0.586232288525631]"
sub11ex2,1.0,0.621502209,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub11ex2,2.0,0.624447717,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub11ex2,3.0,0.64359352,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub11ex2,4.0,0.58910162,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub11ex2,5.0,0.612094395,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub11ex3,1.0,0.509572901,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub11ex3,2.0,0.500736377,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub11ex3,3.0,0.513991163,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub11ex3,4.0,0.45802651,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub11ex3,5.0,0.482300885,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
