Identifier,Fold,Accuracy,Mean_Accuracy,Mean_Class_F1_Scores
sub13ex1,3,0.873343152,0.864467528,"[0.8461790109302149, 0.8156323291383625, 0.9303392123822054]"
sub13ex1,4,0.846833579,0.864467528,"[0.8461790109302149, 0.8156323291383625, 0.9303392123822054]"
sub13ex1,5,0.867256637,0.864467528,"[0.8461790109302149, 0.8156323291383625, 0.9303392123822054]"
sub13ex2,1,0.845360825,0.867709759,"[0.8228481775323988, 0.8186030764494892, 0.9562248231899753]"
sub13ex2,2,0.873343152,0.867709759,"[0.8228481775323988, 0.8186030764494892, 0.9562248231899753]"
sub13ex2,3,0.865979381,0.867709759,"[0.8228481775323988, 0.8186030764494892, 0.9562248231899753]"
sub13ex2,4,0.879234168,0.867709759,"[0.8228481775323988, 0.8186030764494892, 0.9562248231899753]"
sub13ex2,5,0.874631268,0.867709759,"[0.8228481775323988, 0.8186030764494892, 0.9562248231899753]"
sub13ex3,1,0.896907216,0.867999531,"[0.8469695677734663, 0.836013744114927, 0.9166520660740309]"
sub13ex3,2,0.867452135,0.867999531,"[0.8469695677734663, 0.836013744114927, 0.9166520660740309]"
sub13ex3,3,0.873343152,0.867999531,"[0.8469695677734663, 0.836013744114927, 0.9166520660740309]"
sub13ex3,4,0.843888071,0.867999531,"[0.8469695677734663, 0.836013744114927, 0.9166520660740309]"
sub13ex3,5,0.85840708,0.867999531,"[0.8469695677734663, 0.836013744114927, 0.9166520660740309]"
sub14ex1,1,0.874815906,0.876837358,"[0.8939267140921794, 0.8569173444719101, 0.8799741671491803]"
sub14ex1,2,0.892488954,0.876837358,"[0.8939267140921794, 0.8569173444719101, 0.8799741671491803]"
sub14ex1,3,0.877761414,0.876837358,"[0.8939267140921794, 0.8569173444719101, 0.8799741671491803]"
sub14ex1,4,0.87628866,0.876837358,"[0.8939267140921794, 0.8569173444719101, 0.8799741671491803]"
sub14ex1,5,0.862831858,0.876837358,"[0.8939267140921794, 0.8569173444719101, 0.8799741671491803]"
sub14ex2,1,0.804123711,0.778720225,"[0.7541875392369556, 0.7175221391908347, 0.8567919098561573]"
sub14ex2,2,0.770250368,0.778720225,"[0.7541875392369556, 0.7175221391908347, 0.8567919098561573]"
